year,Atlanta,Baltimore,Boston,Chicago,Dallas,Denver,Detroit,Houston,LosAngeles,Miami,Minneapolis,NewYork,Philadelphia,Phoenix,SanDiego,SanFrancisco,Seattle,StLouis,Tampa,WashingtonDC
2006,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2007,False,True,True,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True
2008,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2009,False,False,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False
2010,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True
2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2012,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2013,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2015,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2016,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
2017,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
2018,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False
2019,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True
